game_id,source,source_title,confidence_score,matched_by
deadliest_catch_alaskan_storm,vgsales,Deadliest Catch: Alaskan Storm,100,exact_title_platform_year
deadly_premonition,vgsales,Deadly Premonition,100,exact_title_platform_year
dear_esther,metacritic,Dear Esther,100,exact_title_platform_year
death_jr_and_the_science_fair_of_doom,metacritic,Death Jr. and the Science Fair of Doom,100,exact_title_platform_year
deathrow,metacritic,Deathrow,100,exact_title_platform_year
deca_sports_ds,metacritic,Deca Sports DS,100,exact_title_platform_year
deception_iv_blood_ties,vgsales,Deception IV: Blood Ties,100,exact_title_platform_year
deep_labyrinth,vgsales,Deep Labyrinth,100,exact_title_platform_year
def_jam_rapstar,vgsales,Def Jam Rapstar,100,exact_title_platform_year
defenders_of_ardania,metacritic,Defenders of Ardania,100,exact_title_platform_year
deliver_us_the_moon,metacritic,Deliver Us The Moon,100,exact_title_platform_year
democracy_3,metacritic,Democracy 3,100,exact_title_platform_year
dengeki_bunko_fighting_climax,vgsales,Dengeki Bunko Fighting Climax,100,exact_title_platform_year
derby_stallion_04,vgsales,Derby Stallion 04,100,exact_title_platform_year
despicable_me_the_game_minion_mayhem,vgsales,Despicable Me: The Game - Minion Mayhem,100,exact_title_platform_year
desperate_housewives_the_game,metacritic,Desperate Housewives: The Game,100,exact_title_platform_year
destiny,vgsales,Destiny,100,exact_title_platform_year
destruction_derby_64,vgsales,Destruction Derby 64,100,exact_title_platform_year
detention,metacritic,Detention,100,exact_title_platform_year
devil_kings,metacritic,Devil Kings,100,exact_title_platform_year
dexter_s_laboratory_deesaster_strikes,metacritic,Dexter's Laboratory: Deesaster Strikes!,100,exact_title_platform_year
dg2_defense_grid_2,metacritic,DG2: Defense Grid 2,100,exact_title_platform_year
diablo,vgsales,Diablo,100,exact_title_platform_year
diablo_iii_ultimate_evil_edition,metacritic,Diablo III: Ultimate Evil Edition,100,exact_title_platform_year
die_hard_trilogy_2_viva_las_vegas,vgsales,Die Hard Trilogy 2: Viva Las Vegas,100,exact_title_platform_year
digimon_story_lost_evolution,vgsales,Digimon Story: Lost Evolution,100,exact_title_platform_year
digimon_world_next_order,metacritic,Digimon World: Next Order,100,exact_title_platform_year
dimension_drive,metacritic,Dimension Drive,100,exact_title_platform_year
dino_crisis_3,vgsales,Dino Crisis 3,100,exact_title_platform_year
dirt_2,metacritic,DiRT 2,100,exact_title_platform_year
jan_sangoku_musou,vgsales,Jan Sangoku Musou,100,exact_title_platform_year
dirt_showdown,vgsales,DiRT Showdown,100,exact_title_platform_year
disciples_ii_dark_prophecy,metacritic,Disciples II: Dark Prophecy,100,exact_title_platform_year
disgaea_1_complete,metacritic,Disgaea 1 Complete,100,exact_title_platform_year
disgaea_3_absence_of_detention,metacritic,Disgaea 3: Absence of Detention,100,exact_title_platform_year
disgaea_pc,metacritic,Disgaea PC,100,exact_title_platform_year
dishonored_definitive_edition,metacritic,Dishonored: Definitive Edition,100,exact_title_platform_year
disney_art_academy,vgsales,Disney Art Academy,100,exact_title_platform_year
disney_infinity,metacritic,Disney Infinity,100,exact_title_platform_year
disney_pixar_finding_nemo,metacritic,Disney/Pixar Finding Nemo,100,exact_title_platform_year
disney_s_atlantis_the_lost_empire,vgsales,Disney's Atlantis: The Lost Empire,100,exact_title_platform_year
disney_s_extreme_skate_adventure,metacritic,Disney's Extreme Skate Adventure,100,exact_title_platform_year
disney_s_magical_quest_2_starring_mickey_and_minnie,vgsales,Disney's Magical Quest 2 Starring Mickey and Minnie,100,exact_title_platform_year
disney_s_peter_pan_return_to_never_land,vgsales,Disney's Peter Pan: Return to Never Land,100,exact_title_platform_year
disney_s_tarzan_return_to_the_jungle,vgsales,Disney's Tarzan: Return to the Jungle,100,exact_title_platform_year
disney_s_winnie_the_pooh_s_rumbly_tumbly_adventure,vgsales,Disney's Winnie the Pooh's Rumbly Tumbly Adventure,100,exact_title_platform_year
disney_sing_it_party_hits,vgsales,Disney Sing It: Party Hits,100,exact_title_platform_year
dissidia_final_fantasy_nt,metacritic,Dissidia: Final Fantasy NT,100,exact_title_platform_year
divinity_original_sin,vgsales,Divinity: Original Sin,100,exact_title_platform_year
darkwood,metacritic,Darkwood,100,exact_title_platform_year
data_east_arcade_classics,metacritic,Data East Arcade Classics,100,exact_title_platform_year
dave_mirra_freestyle_bmx,metacritic,Dave Mirra Freestyle BMX,100,exact_title_platform_year
dave_mirra_freestyle_bmx_maximum_remix,vgsales,Dave Mirra Freestyle BMX: Maximum Remix,100,exact_title_platform_year
dc_universe_online,metacritic,DC Universe Online,100,exact_title_platform_year
de_blob,metacritic,de Blob,100,exact_title_platform_year
dead_effect,metacritic,Dead Effect,100,exact_title_platform_year
dead_island,vgsales,Dead Island,100,exact_title_platform_year
dead_island_riptide,vgsales,Dead Island: Riptide,100,exact_title_platform_year
dead_nation_apocalypse_edition,metacritic,Dead Nation: Apocalypse Edition,100,exact_title_platform_year
dead_or_alive_2,vgsales,Dead or Alive 2,100,exact_title_platform_year
dead_or_alive_5_ultimate,metacritic,Dead or Alive 5 Ultimate,100,exact_title_platform_year
city_crisis,metacritic,City Crisis,100,exact_title_platform_year
city_builder,vgsales,City Builder,100,exact_title_platform_year
