game_id,title,data_confidence_score,popularity_score
kid_icarus,Kid Icarus,20,17.705
hornby_virtual_railway_2,Hornby Virtual Railway 2,25,17.7125
kids_learn_bundle_math_spelling_and_grammar,Kids Learn Bundle: Math / Spelling and Grammar,20,17.705
killca_drive,Killca Drive,10,17.69
kinect_me,Kinect Me,20,17.705
kinect_sparkler,Kinect Sparkler,20,17.705
barbie_my_scene,Barbie: My Scene,25,19.3645
kirby_s_block_ball,Kirby's Block Ball,20,17.705
kirby_s_pinball_land,Kirby's Pinball Land,20,17.705
konami_gb_collection,Konami GB Collection,25,17.7125
korg_dsn_12,KORG DSN-12,20,17.705
korg_m01d,KORG M01D,20,17.705
rebel_12,Rebel 12,25,17.7125
kutar_apple,Kutar Apple,20,17.705
kutar_burger_factory,Kutar Burger Factory,20,17.705
kutar_concert_staff,Kutar Concert Staff,20,17.705
kutar_quiz,Kutar Quiz,20,17.705
kutar_tube_rider,Kutar Tube Rider,20,17.705
lalaloopsy_carnival_of_friends,Lalaloopsy Carnival of Friends,20,17.705
last_fm,Last.fm,10,17.69
lead_the_meerkats,Lead the Meerkats,20,17.705
brick_race,BRICK RACE,20,17.705
bicycle_board_games,Bicycle Board Games,25,17.7125
color_cubes,COLOR CUBES,20,17.705
cup_critters,CUP CRITTERS,20,17.705
legendary_wars_t_rex_rumble,Legendary Wars: T-Rex Rumble,20,17.705
legends_of_exidia,Legends of Exidia,20,17.705
legna_tactica,Legna Tactica,20,17.705
pinball_breakout,Pinball Breakout,20,17.705
let_s_ride_best_in_breed_3d,Let's Ride Best in Breed 3D,20,17.705
let_s_ride_friends_forever,Let's Ride: Friends Forever,25,17.9902
letter_challenge,Letter Challenge,20,17.705
licky_the_lucky_lizard_lives_again,Licky The Lucky Lizard Lives Again,20,17.705
liight,Liight,20,17.705
link_n_launch,Link 'n' Launch,20,17.705
lips_music_store,Lips Music Store,10,17.69
list_of_namco_video_game_compilations,List of Namco video game compilations,25,17.7125
little_battlers_experience,Little Battlers eXperience,20,17.705
littlest_pet_shop_biggest_stars_blue_team,Littlest Pet Shop Biggest Stars - Blue Team,20,17.705
littlest_pet_shop_biggest_stars_purple_team,Littlest Pet Shop Biggest Stars - Purple Team,20,17.705
littlest_pet_shop_3_biggest_stars,Littlest Pet Shop 3: Biggest Stars,25,17.7125
snood_towers,Snood Towers,25,17.7125
lol,LOL,20,17.705
lola_s_math_train,Lola's Math Train,20,17.705
london_taxi_rush_hour,London Taxi: Rush Hour,20,17.705
loot_the_land,Loot the Land,20,17.705
best_of_solitaire,Best of Solitaire,20,17.705
love_hero,Love Hero,25,17.7125
lucentek_activate,Lucentek - Activate,20,17.705
lufia_the_legend_returns,Lufia: The Legend Returns,20,17.705
lumines_live,LUMINES LIVE!,20,17.705
reel_deal_slots_nickel_alley,Reel Deal Slots Nickel Alley,25,17.7125
luv_me_buddies_wonderland,Luv Me Buddies Wonderland,20,17.705
luxury_fun_triple_scoop,Luxury Fun Triple Scoop,10,17.69
m_m_s_break_em,M&M's Break 'Em,10,17.69
maestro_green_groove,Maestro! Green Groove,20,17.705
magic_the_gathering_old,Magic: The Gathering (Old),20,17.705
mahjong_carnival,Mahjong Carnival,10,17.69
kasparov_chessmate,Kasparov Chessmate,25,17.7125
junior_8,Junior 8,25,17.7125
mahjong_royal_towers_mahjong_world_contest_mahjong_gold,"Mahjong Royal Towers, Mahjong World Contest, Mahjong Gold",10,17.69
atomic_sevens,Atomic Sevens,25,17.7125
fatal_fury_2,FATAL FURY 2,20,17.705
make_up_style,Make Up & Style,20,17.705
mama_s_2_pack,Mama's 2-Pack,20,17.705
mama_s_combo_pack_volume_1,Mama's Combo Pack Volume 1,20,17.705
mama_s_combo_pack_volume_2,Mama's Combo Pack Volume 2,20,17.705
side_pocket,Side Pocket,20,17.705
mario_calculator,Mario Calculator,20,17.705
mario_clock,Mario Clock,20,17.705
hoyle_majestic_chess,Hoyle Majestic Chess,25,17.7125
marmoset_hexels_2,Marmoset Hexels 2,20,17.705
mars_rover_landing,Mars Rover Landing,20,17.705
mart_racer,Mart Racer,20,17.705
martial_beat,Martial Beat,10,17.69
hoyle_friday_night_poker,Hoyle Friday Night Poker,25,17.7125
maze_breaker_2,Maze Breaker 2,10,17.69
me_my_furry_patients_3d,Me & My Furry Patients 3D,20,17.705
me_my_pets_3d,Me & My Pets 3D,20,17.705
medabots_ax_metabee,Medabots AX: Metabee,20,17.705
medabots_ax_rokusho,Medabots AX: Rokusho,20,17.705
hoyle_casino_2004,Hoyle Casino 2004,25,17.7125
mega_turrican,Mega Turrican,20,17.705
mega_words,Mega Words,20,17.705
mercenaries_saga_2,Mercenaries Saga 2,20,17.705
mercenaries_saga_3,Mercenaries Saga 3,20,17.705
midnight_bowling,Midnight Bowling,25,17.7125
miitopia_casting_call,Miitopia: Casting Call,20,17.705
mini_games_madness_volume_1_hello_world,MINI-GAMES MADNESS VOLUME: #1 - HELLO WORLD!,20,17.705
mini_sports_collection,Mini Sports Collection,20,17.705
bomba_the_explosive_hero,Bomba: The Explosive Hero,25,17.7125
mixed_messages,Mixed Messages,20,17.705
mole_mania,Mole Mania,20,17.705
monster_frenzy,Monster Frenzy,20,17.705
monster_rancher_ds,Monster Rancher DS,20,17.705
moon_cresta,Moon Cresta,20,17.705
moorhuhn,Moorhuhn,25,17.7125
hudson_selection,Hudson Selection,25,17.7125
movie_games,Movie Games,25,17.7125
move_your_brain_rollway_puzzle,Move your Brain Rollway Puzzle,20,17.705
mr_bean_s_wacky_world,Mr. Bean's Wacky World,20,17.705
mr_driller_drill_till_you_drop,Mr. DRILLER: Drill Till You Drop,20,17.705
mr_driller_w,Mr. DRILLER W,20,17.705
musashi_the_samurai_lord,"Musashi, the Samurai Lord",25,17.7125
musha,MUSHA,20,17.705
musical_feet,Musical Feet,20,17.705
mvp_baseball_series,MVP Baseball series,25,17.7125
mutation_station,Mutation Station,20,17.705
my_baby_pet_hotel_3d,My Baby Pet Hotel 3D,20,17.705
my_jurassic_farm,My Jurassic Farm,20,17.705
my_life_on_a_farm_3d,My Life on a Farm 3D,20,17.705
ceebot,Ceebot,25,17.7125
my_sat_coach,My SAT Coach,25,17.7125
my_style_studio_notebook,My Style Studio: Notebook,20,17.705
my_virtual_tutor_1st_grade_to_2nd_grade,My Virtual Tutor: 1st Grade to 2nd Grade,10,17.69
my_western_horse_3d,My Western Horse 3D,20,17.705
mysterious_stars_3d_a_fairy_tale,Mysterious Stars 3D: A Fairy Tale,20,17.705
mysterious_stars_a_fairy_tale,Mysterious Stars: A Fairy Tale,20,17.705
mysterious_stars_the_samurai,Mysterious Stars: The Samurai,20,17.705
mysterious_stars_the_singer,Mysterious Stars: The Singer,20,17.705
mystery_case_files_ravenhearst,Mystery Case Files Ravenhearst,20,17.705
mystery_case_files_retun_to_ravenhearst,Mystery Case Files Retun to Ravenhearst,20,17.705
mystery_murders_jack_the_ripper,Mystery Murders: Jack the Ripper,20,17.705
n_43,N&#43;,20,17.705
namco_museum_vol_1,Namco Museum Vol. 1,10,17.69
namco_museum_vol_3,Namco Museum Vol. 3,20,17.705
namco_museum_vol_5,Namco Museum Vol. 5,10,17.69
napoleon_dynamite,Napoleon Dynamite,25,17.7125
nba,NBA,10,17.69
nba_in_the_zone,NBA in the Zone,25,17.7125
neon_battle,Neon Battle,20,17.705
neverland_card_battles,Neverland Card Battles,20,17.705
neves_plus,NEVES Plus,20,17.705
new_hokage_servant,New Hokage Servant,20,17.705
new_rally_x,NEW RALLY-X,20,17.705
newu_mind_body_yoga_pilates_workout,NewU Mind Body Yoga & Pilates Workout,25,17.7125
nextrev_care_manager_shiken,NextRev: Care Manager Shiken,20,17.705
nfl_xtreme,NFL Xtreme,20,17.705
nhl_faceoff,NHL FaceOff,20,17.705
nicktoons_mlb_3d,Nicktoons MLB 3D,20,17.705
ninja_combat,Ninja Combat,20,17.705
ninja_usagimaru_the_gem_of_blessings,Ninja Usagimaru - The Gem of Blessings,20,17.705
nintendo_campus_challenge,Nintendo Campus Challenge,25,17.7125
nintendo_badge_arcade,Nintendo Badge Arcade,20,17.705
nintendo_dsi_browser,Nintendo DSi Browser,20,17.705
noah_s_cradle,Noah's Cradle,20,17.705
now_i_know_my_abcs_2,Now I know my ABCs 2,20,17.705
nurikabe_by_nikoli,Nurikabe by Nikoli,20,17.705
octocopter_super_sub_squid_escape,Octocopter: Super Sub Squid Escape,20,17.705
offshore_tycoon,Offshore Tycoon,25,17.7125
of_mice_and_sand,Of Mice And Sand,20,17.705
oops_prank_party,Oops! Prank Party,20,17.705
ordyne,ORDYNE,20,17.705
oscar_in_toyland,Oscar in Toyland,20,17.705
oshaberi_usagi_mecha_kawa_oshare_collection,Oshaberi Usagi: Mecha Kawa Oshare Collection,25,17.7125
our_house_party,Our House: Party!,20,17.705
pac_attack,Pac-Attack,20,17.705
qix,Qix,20,17.705
paper_airplane_chase,Paper Airplane Chase,20,17.705
parascientific_escape_crossing_at_the_farthest_horizon,Parascientific Escape - Crossing at the Farthest Horizon,20,17.705
parascientific_escape_cruise_in_the_distant_seas,Parascientific Escape Cruise in the Distant Seas,20,17.705
paul_s_shooting_adventure_2,Paul's Shooting Adventure 2,20,17.705
pdi_check,PDI Check,20,17.705
golf_adventure_galaxy,Golf Adventure Galaxy,15,17.6975
penguin_patrol,Penguin Patrol,20,17.705
pentapuzzle,PENTAPUZZLE,20,17.705
percy_jackson_the_olympians_the_lightning_thief,Percy Jackson & the Olympians: The Lightning Thief,20,17.705
percy_s_predicament,Percy's Predicament,20,17.705
percy_s_predicament_deluxe,Percy's Predicament Deluxe,20,17.705
pet_adoption_center,Pet Adoption Center,20,17.705
pet_hospital,PET HOSPITAL,20,17.705
pet_zombies,Pet Zombies,20,17.705
petz_beach,Petz Beach,20,17.705
petz_catz_family,Petz Catz Family,20,17.705
petz_countryside,Petz Countryside,20,17.705
petite_zombies,Petite Zombies,25,17.7125
petz_hamsterz_2,Petz Hamsterz 2,25,17.7125
petz_fashion_dogz_and_catz,Petz Fashion: Dogz and Catz,20,17.705
phasmophobia_hall_of_specters_3d,Phasmophobia: Hall of Specters 3D,25,17.7125
photo_phantasy,Photo Phantasy,10,17.69
photo_phantasy_spot_the_differences,Photo Phantasy: Spot the Differences,20,17.705
piano_teacher,Piano Teacher,20,17.705
pick_a_gem,Pick-A-Gem,20,17.705
picross_e5,PICROSS e5,20,17.705
picross_e6,PICROSS e6,20,17.705
picross_e8,PICROSS e8,20,17.705
pikmin_short_movies_3d,Pikmin Short Movies 3D,20,17.705
pikmin_short_movies_hd,Pikmin Short Movies HD,20,17.705
picturebook_games_pop_up_pursuit,PictureBook Games: Pop-Up Pursuit,25,17.7125
pinball_breaker,Pinball Breaker,10,17.69
pinball_breaker_vi,Pinball Breaker VI,10,17.69
pinball_breakout_2,Pinball Breakout 2,10,17.69
ping_pong_trick_shot,Ping Pong Trick Shot,20,17.705
ping_pong_trick_shot_2,Ping Pong Trick Shot 2,20,17.705
pink_dot_blue_dot,PINK DOT BLUE DOT,20,17.705
pirate_s_quest_hunt_for_blackbeard_s_booty,Pirate's Quest: Hunt for Blackbeard's Booty,25,17.7125
pixel_paint,Pixel Paint,20,17.705
pixel_slime_u,PIXEL SLIME U,20,17.705
pixelmaker_studio,PixelMaker Studio,10,17.69
placards,Placards,20,17.705
playonline_viewer,PlayOnline Viewer,20,17.705
triple_breakout,Triple Breakout,20,17.705
playstation_vita_cliff_diving,PlayStation Vita Cliff Diving,10,17.69
chess_2003,Chess 2003,25,17.7125
battlecruiser_millennium_gold,Battlecruiser Millennium Gold,25,17.7125
polara,Polara,20,17.705
pong_pong_candy,Pong Pong Candy,20,17.705
pong_toss_pro_frat_party_games,Pong Toss Pro - Frat Party Games,20,17.705
