group_key,suggested_review,status,candidate_count
pokmoncrystalversion,merge_candidate,merged,2
phantasystaruniverse,merge_candidate,merged,2
pokmonalphasapphireomegaruby,merge_candidate,merged,2
grimdawn,merge_candidate,merged,2
thelegendofzeldatwilightprincesshd,preserve_edition_review,merged,2
toejamearl,merge_candidate,merged,2
megamanpoweredup,merge_candidate,merged,2
hellletloose,merge_candidate,merged,2
pokmonrumble,merge_candidate,merged,2
needforspeedrivals,merge_candidate,merged,2
pavlovvr,merge_candidate,merged,2
pokmonpuzzleleague2000,merge_candidate,merged,2
metroidprimehunters,merge_candidate,merged,2
crysis,merge_candidate,merged,2
seabassfishing,merge_candidate,merged,2
skljaggerrevoltofthewesticans,merge_candidate,merged,2
slimesansuperslimeedition,merge_candidate,merged,2
ochakennoheyads,merge_candidate,merged,2
hurryupbirdhunter,merge_candidate,merged,2
metroidprime2echoes,merge_candidate,merged,2
thelegendofzeldathewindwaker,merge_candidate,merged,2
thecallistoprotocol,merge_candidate,merged,2
katekyohitmanreborndreamhyperbattle,merge_candidate,merged,2
dragonscrown,merge_candidate,merged,2
questfortheshavenyakstarringrenhokstimpy,merge_candidate,merged,2
baldursgateiii,merge_candidate,merged,2
sniperelite4,merge_candidate,merged,2
beforeweleave,merge_candidate,merged,2
princeofpersiarivalswords,merge_candidate,merged,2
callofdutyblackops6,merge_candidate,merged,2
theexpendables2videogame,merge_candidate,merged,2
gravityrush,merge_candidate,merged,2
meltylancergingashoujokeisatsu2086,merge_candidate,merged,2
megamanx8,merge_candidate,merged,2
starsweep,merge_candidate,merged,2
anothercoderecollection,merge_candidate,merged,2
unchartedgoldenabyss,merge_candidate,merged,2
thelegendarystarfy,merge_candidate,merged,2
tenmadejackodorokimanenokidaitoubou,merge_candidate,merged,2
supermarioodyssey,merge_candidate,merged,2
hiironokakera,merge_candidate,merged,2
finalfantasytactics,merge_candidate,merged,2
ninokuniiirevenantkingdom,merge_candidate,merged,2
thepluckysquire,merge_candidate,merged,2
pokmondiamondpearl,merge_candidate,merged,2
thenakedbrothersbandthevideogame,merge_candidate,merged,2
socomiiusnavyseals,merge_candidate,merged,2
eyetoyplay,merge_candidate,merged,2
batmanarkhamcity,merge_candidate,merged,2
ranmahardbattle,merge_candidate,merged,2
starwarsjedifallenorder,merge_candidate,merged,2
cultofthelamb,merge_candidate,merged,2
assassinscreedbrotherhood,merge_candidate,merged,2
pokmonconquest,merge_candidate,merged,2
chkkannightproyakyking,merge_candidate,merged,2
superpapermario,merge_candidate,merged,2
mortalkombat1,merge_candidate,merged,2
illustlogicdscolorfullogic,merge_candidate,merged,2
ganbaregoemontengutnogyakush,merge_candidate,merged,2
pokmonpicrossgameboycolor,merge_candidate,merged,2
aeonflux,merge_candidate,merged,2
ironclad,merge_candidate,merged,2
soldnerx2finalprototype,merge_candidate,merged,2
deadspace3,merge_candidate,merged,2
thesims3,merge_candidate,merged,2
